City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
290,kahului,20,US,1518299760,50,20.89,-156.47,75.2,14.99
291,vardo,90,US,1518301020,93,39.62,-77.74,42.8,3.36
292,santa lucia,40,IT,1518296100,61,39.93,9.66,46.4,12.75
293,oistins,75,BB,1518300000,74,13.07,-59.53,78.8,25.28
294,hamilton,20,BM,1518299700,88,32.3,-64.78,69.8,9.17
295,marsa matruh,0,EG,1518296400,63,31.35,27.25,64.4,11.41
296,norman wells,75,CA,1518300000,64,65.28,-126.83,1.4,13.87
297,sovetskiy,64,RU,1518301623,78,56.76,48.47,4.72,3.15
298,fairbanks,1,US,1518299880,75,64.84,-147.72,-11.21,3.15
299,champerico,40,MX,1518299100,33,16.38,-93.6,89.6,2.93
300,am timan,0,TD,1518301624,24,11.04,20.28,78.16,7.18
301,langsa,56,ID,1518301624,92,4.47,97.97,69.57,2.15
302,yeniseysk,80,RU,1518301625,85,58.45,92.17,9.27,2.59
303,halifax,90,CA,1518300000,100,44.65,-63.58,39.2,14.99
304,araouane,0,ML,1518301625,32,18.9,-3.53,54.54,7.4
305,buncrana,92,GB,1518301625,100,55.14,-7.45,38.25,14.34
306,pontianak,40,ID,1518296400,94,-0.02,109.34,75.2,6.51
307,mount gambier,92,AU,1518301627,68,-37.83,140.78,61.83,5.61
308,man,0,CI,1518301627,42,7.41,-7.55,77.13,4.72
309,praya,20,ID,1518300000,100,-8.71,116.27,73.4,6.62
310,severo-kurilsk,76,RU,1518301628,100,50.68,156.12,25.51,4.61
311,mackenzie,1,CA,1518300000,66,55.34,-123.09,10.4,10.29
312,mount darwin,92,ZW,1518301628,99,-16.77,31.58,64.75,7.52
313,bambous virieux,40,MU,1518300000,94,-20.34,57.76,77.0,1.12
314,hasaki,75,JP,1518298500,86,35.73,140.83,41.0,4.7
315,meulaboh,24,ID,1518301630,100,4.14,96.13,77.94,5.06
316,pisco,0,PE,1518300000,73,-13.71,-76.2,77.0,23.04
317,phan thiet,24,VN,1518301632,100,10.93,108.1,70.87,5.73
318,praia da vitoria,20,PT,1518300000,93,38.73,-27.07,60.8,12.21
319,mecca,0,SA,1518300000,61,21.43,39.83,77.0,2.71
320,tupik,64,RU,1518301633,55,54.43,119.94,-7.25,3.83
321,tungor,68,RU,1518301634,92,53.39,142.95,-7.34,6.62
322,yulara,0,AU,1518300000,36,-25.24,130.99,80.6,11.41
323,oussouye,0,SN,1518300000,68,12.49,-16.54,77.0,6.93
324,kota,0,IN,1518301356,91,25.17,75.86,54.54,2.82
325,lompoc,1,US,1518299880,72,34.64,-120.46,68.0,17.22
326,riachao,80,BR,1518301636,100,-7.36,-46.62,74.25,3.6
327,sepuka,0,TZ,1518301636,45,-4.75,34.53,70.06,13.78
328,novo aripuana,68,BR,1518301637,78,-5.12,-60.38,82.53,2.71
329,la romana,40,DO,1518300000,78,18.43,-68.97,78.8,10.29
330,chara,90,GR,1518299400,87,39.42,22.43,44.6,11.41
331,zhigansk,68,RU,1518301639,88,66.77,123.37,-20.26,3.27
332,sattahip,20,TH,1518298200,83,12.67,100.9,73.4,4.7
333,san andres,88,PH,1518301640,100,13.32,122.68,78.48,10.65
334,punta cardon,0,VE,1518301641,53,11.61,-70.22,85.68,25.08
